student_id,name,skills
505,Student505,documentation business intelligence
506,Student506,monday bootstrap
507,Student507,lambda wireshark
508,Student508,security jenkins
509,Student509,cloudfront software architecture
510,Student510,mobile ui process management
511,Student511,powershell version control
512,Student512,s3 software architecture
513,Student513,jira siem
514,Student514,artifact registry incident response
515,Student515,kubernetes ruby
516,Student516,svelte embedded systems
517,Student517,business intelligence apache spark
518,Student518,rust kotlin
519,Student519,leadership c
520,Student520,elasticsearch asp.net
521,Student521,haskell full stack
522,Student522,nosql logging
523,Student523,kotlin gitlab
524,Student524,cypress bitbucket
525,Student525,robotics backend
526,Student526,react native routing
527,Student527,monitoring intellij
528,Student528,bash scripting design patterns
529,Student529,firebase nlp
530,Student530,business intelligence intellij
531,Student531,feature engineering mechanical design
532,Student532,system design neural networks
533,Student533,signal processing dns
534,Student534,javascript probability
535,Student535,data lakehouse network security
536,Student536,oop information security
537,Student537,nestjs jenkins
538,Student538,generative ai penetration testing
539,Student539,load balancing javascript
540,Student540,llm github
541,Student541,load balancing solidworks
542,Student542,nmap gitlab
543,Student543,penetration testing data modeling
544,Student544,hyperparameter tuning xcode
545,Student545,vpn php
546,Student546,cloudfront web security
547,Student547,kafka performance optimization
548,Student548,babel shell scripting
549,Student549,go jira
550,Student550,wireshark gcp
551,Student551,web security ai ethics
552,Student552,websocket data visualization
553,Student553,responsive design team collaboration
554,Student554,autocad api integration
555,Student555,industrial automation data pipelines
556,Student556,express jira
557,Student557,mobile security vector databases
558,Student558,mobile testing data modeling
559,Student559,notion proxy servers
560,Student560,api development solidworks
561,Student561,graphql asp.net
562,Student562,computer vision spring boot
563,Student563,github actions haskell
564,Student564,openai api problem solving
565,Student565,data labeling bdd
566,Student566,nlp express
567,Student567,matlab javascript
568,Student568,s3 plc
569,Student569,leadership hyperparameter tuning
570,Student570,autoML miro
571,Student571,docker swift
572,Student572,functional programming load balancing
573,Student573,api integration express
574,Student574,azure dart
575,Student575,ci/cd grafana
576,Student576,windows server api development
577,Student577,miro c
578,Student578,soc data preprocessing
579,Student579,splunk gitops
580,Student580,data governance logging
581,Student581,ruby haskell
582,Student582,embedded systems proxy servers
583,Student583,hadoop ai ethics
584,Student584,mocha data lakes
585,Student585,cypress flutter
586,Student586,microservices forensics
587,Student587,release management clustering
588,Student588,mobile testing time series analysis
589,Student589,supervised learning model optimization
590,Student590,shell scripting encryption
591,Student591,statistics airflow
592,Student592,file systems signal processing
593,Student593,bdd aws
594,Student594,application security aws
595,Student595,s3 api
596,Student596,communication systems chatbot
597,Student597,network architecture prometheus
598,Student598,angular pycharm
599,Student599,industrial automation unit testing
600,Student600,reinforcement learning storage management
601,Student601,tls dotnet
602,Student602,ruby zero trust
603,Student603,proxy servers laravel
604,Student604,big data app store
605,Student605,routing tls
606,Student606,terraform java
607,Student607,ddos protection flutter
608,Student608,process management css
609,Student609,software engineering virtualbox
610,Student610,zero trust functional programming
611,Student611,data analysis graphql
612,Student612,r miro
613,Student613,slack kafka
614,Student614,r grafana
615,Student615,perl infrastructure as code
616,Student616,design load balancing
617,Student617,sql miro
618,Student618,serverless encryption
619,Student619,macos bootstrap
620,Student620,ips api
621,Student621,react native recommendation systems
622,Student622,load balancing mobile ui
623,Student623,solidworks computer vision
624,Student624,keras hadoop
625,Student625,version control dns
626,Student626,grafana pytorch
627,Student627,play store data preprocessing
628,Student628,infrastructure as code automation
629,Student629,lambda vmware
630,Student630,mobile testing wireshark
631,Student631,deep learning ui
632,Student632,vpn perl
633,Student633,data wrangling confluence
634,Student634,firewall monitoring
635,Student635,elasticsearch ai
636,Student636,spring boot seaborn
637,Student637,dimensionality reduction huggingface
638,Student638,encryption grafana
639,Student639,javascript bitbucket
640,Student640,database regression
641,Student641,swift ai ethics
642,Student642,centos xcode
643,Student643,microservices keras
644,Student644,c++ cybersecurity
645,Student645,software architecture wireshark
646,Student646,confluence industrial automation
647,Student647,babel java
648,Student648,dhcp cloud architecture
649,Student649,data governance data visualization
650,Student650,docker chatbot
651,Student651,google cloud shell scripting
652,Student652,cross-browser testing data warehousing
653,Student653,proxy servers full stack
654,Student654,backend pandas
655,Student655,gitlab ci electronics
656,Student656,javascript ec2
657,Student657,kafka backend
658,Student658,api integration machine learning
659,Student659,unit testing spring boot
660,Student660,kotlin serverless
661,Student661,push notifications git
662,Student662,java electronics
663,Student663,scala transfer learning
664,Student664,airflow matlab
665,Student665,redux computer vision
666,Student666,ci/cd cross-browser testing
667,Student667,time series analysis c
668,Student668,mocha shell scripting
669,Student669,flask microservices
670,Student670,agile typescript
671,Student671,redux typescript
672,Student672,graphql system monitoring
673,Student673,numpy javascript
674,Student674,vector databases autoscaling
675,Student675,ansible matplotlib
676,Student676,sql routing
677,Student677,firebase kubernetes
678,Student678,terraform html
679,Student679,excel api integration
680,Student680,vpc c++
681,Student681,gitops google cloud
682,Student682,dotnet critical thinking
683,Student683,web security redux
684,Student684,regression play store
685,Student685,responsive design model deployment
686,Student686,metasploit scikit-learn
687,Student687,intellij powershell
688,Student688,incident response sass
689,Student689,metasploit swift
690,Student690,predictive modeling vite
691,Student691,power bi eclipse
692,Student692,raspberry pi penetration testing
693,Student693,regression debugging
694,Student694,miro php
695,Student695,c# firebase
696,Student696,selenium html
697,Student697,transfer learning data warehousing
698,Student698,vpn signal processing
699,Student699,miro javascript
700,Student700,data pipelines encryption
701,Student701,embedded systems postman
702,Student702,go mocha
703,Student703,reinforcement learning macos
704,Student704,leadership centos
705,Student705,jira test automation
706,Student706,confluence infrastructure as code
707,Student707,devops airflow
708,Student708,visual studio time series analysis
709,Student709,api integration predictive modeling
710,Student710,vmware debugging
711,Student711,cross-browser testing scrum
712,Student712,load balancing performance optimization
713,Student713,control systems flask
714,Student714,neural networks push notifications
715,Student715,webpack confluence
716,Student716,helm iot
717,Student717,sql chatbot
718,Student718,matlab innovation
719,Student719,bash scripting python
720,Student720,linux data modeling
721,Student721,vpc code review
722,Student722,monitoring nestjs
723,Student723,speech recognition rust
724,Student724,websocket gcp
725,Student725,nlp route53
726,Student726,pair programming rust
727,Student727,linux selenium
728,Student728,cad modeling virtualbox
729,Student729,ci/cd control systems
730,Student730,jira linux
731,Student731,industrial automation php
732,Student732,flutter process management
733,Student733,kubernetes seaborn
734,Student734,websocket clustering
735,Student735,leadership c
736,Student736,cloudfront sass
737,Student737,design matlab
738,Student738,tableau generative ai
739,Student739,hyperparameter tuning scikit-learn
740,Student740,helm java
741,Student741,speech recognition fastapi
742,Student742,helm sql
743,Student743,typescript cybersecurity
744,Student744,leadership docker
745,Student745,matlab data analysis
746,Student746,openai api soc
747,Student747,wireshark debugging
748,Student748,web security web performance
749,Student749,pycharm proxy servers
750,Student750,in-app payments full stack
751,Student751,devops postman
752,Student752,load balancing llm
753,Student753,metasploit troubleshooting
754,Student754,mlops critical thinking
755,Student755,rust tls
756,Student756,gitlab swift
757,Student757,shell scripting ansible
758,Student758,file systems data modeling
759,Student759,anomaly detection mobile security
760,Student760,data visualization flutter
761,Student761,hadoop gitkraken
762,Student762,route53 recommendation systems
763,Student763,time series analysis ethical hacking
764,Student764,kanban scala
765,Student765,gcp mlops
766,Student766,reinforcement learning langchain
767,Student767,devops ux
768,Student768,business intelligence sass
769,Student769,cloud storage slack
770,Student770,monitoring data analysis
771,Student771,huggingface information security
772,Student772,kafka clustering
773,Student773,responsive design data preprocessing
774,Student774,autocad frontend
775,Student775,scada problem solving
776,Student776,predictive analytics ssl
777,Student777,computer vision autoML
778,Student778,eclipse ddos protection
779,Student779,forensics image processing
780,Student780,terraform c#
781,Student781,agile vscode
782,Student782,scikit-learn nestjs
783,Student783,kanban jenkins
784,Student784,ai ethics elasticsearch
785,Student785,full stack splunk
786,Student786,airflow docker
787,Student787,haskell prometheus
788,Student788,automation backend
789,Student789,webpack github actions
790,Student790,ui clustering
791,Student791,linux system design
792,Student792,integration testing machine learning
793,Student793,css hadoop
794,Student794,matlab project management
795,Student795,critical thinking statistics
796,Student796,mlops vscode
797,Student797,ai ethics cloud storage
798,Student798,regression excel
799,Student799,dotnet ubuntu
800,Student800,virtualbox time series analysis
801,Student801,miro penetration testing
802,Student802,documentation verilog
803,Student803,vhdl html
804,Student804,deep learning vhdl
805,Student805,docker desktop angular
806,Student806,automation dimensionality reduction
807,Student807,php problem solving
808,Student808,transfer learning nodejs
809,Student809,vhdl hadoop
810,Student810,in-app payments security
811,Student811,sql software engineering
812,Student812,machine learning firebase
813,Student813,sql virtualization
814,Student814,mobile ui file systems
815,Student815,gitlab ci data warehousing
816,Student816,scada network architecture
817,Student817,flask tensorflow
818,Student818,cloud spring boot
819,Student819,dart artifact registry
820,Student820,ux leadership
821,Student821,kafka file systems
822,Student822,nextjs research
823,Student823,frontend llm
824,Student824,backend gcp
825,Student825,grafana regression
826,Student826,kafka incident response
827,Student827,c++ wireshark
828,Student828,xcode linux
829,Student829,mobile ui performance optimization
830,Student830,bootstrap php
831,Student831,virtualization gitkraken
832,Student832,typescript functional programming
833,Student833,network security shell scripting
834,Student834,azure jira
835,Student835,embedded systems communication systems
836,Student836,firewall html
837,Student837,visual studio frontend
838,Student838,anomaly detection ubuntu
839,Student839,tableau hadoop
840,Student840,grafana serverless
841,Student841,robotics logging
842,Student842,vscode kafka
843,Student843,sass dhcp
844,Student844,ruby monday
845,Student845,kotlin firebase
846,Student846,etl design patterns
847,Student847,virtualization network security
848,Student848,penetration testing deep learning
849,Student849,javascript probability
850,Student850,dotnet debugging
851,Student851,figma r
852,Student852,solidworks version control
853,Student853,sass trello
854,Student854,application security gcp
855,Student855,test automation nmap
856,Student856,data warehousing raspberry pi
857,Student857,nextjs kubernetes
858,Student858,data labeling scala
859,Student859,responsive design apache spark
860,Student860,image processing spring boot
861,Student861,postman matlab
862,Student862,performance optimization ec2
863,Student863,zero trust dns
864,Student864,llm airflow
865,Student865,websocket troubleshooting
866,Student866,seaborn pandas
867,Student867,api development webpack
868,Student868,java bootstrap
869,Student869,dimensionality reduction c
870,Student870,machine learning design
871,Student871,zero trust documentation
872,Student872,computer vision powershell
873,Student873,grafana babel
874,Student874,matlab ai ethics
875,Student875,android studio web security
876,Student876,mechanical design cybersecurity
877,Student877,linux windows server
878,Student878,robotics vulnerability scanning
879,Student879,robotics nmap
880,Student880,gitlab react native
881,Student881,vpc eclipse
882,Student882,github express
883,Student883,recommendation systems incident response
884,Student884,critical thinking s3
885,Student885,selenium model evaluation
886,Student886,data mining tcp/ip
887,Student887,tailwind ansible
888,Student888,websocket switching
889,Student889,data analysis innovation
890,Student890,selenium redux
891,Student891,llm autocad
892,Student892,robotics plc
893,Student893,sass grafana
894,Student894,signal processing software engineering
895,Student895,network architecture miro
896,Student896,api development javascript
897,Student897,ai ai ethics
898,Student898,data wrangling perl
899,Student899,backend virtualbox
900,Student900,dotnet tdd
901,Student901,integration testing design
902,Student902,data labeling functional programming
903,Student903,big data communication systems
904,Student904,matlab innovation
905,Student905,incident response webpack
906,Student906,innovation probability
907,Student907,c++ prometheus
908,Student908,haskell pair programming
909,Student909,c classification
910,Student910,team collaboration docker desktop
911,Student911,asp.net code review
912,Student912,clustering sass
913,Student913,data github actions
914,Student914,system monitoring data preprocessing
915,Student915,route53 dimensionality reduction
916,Student916,data preprocessing app store
917,Student917,mlops etl
918,Student918,time series analysis simulation
919,Student919,go logging
920,Student920,file systems grafana
921,Student921,datadog kotlin
922,Student922,new relic r
923,Student923,huggingface javascript
924,Student924,leadership serverless
925,Student925,proxmox cad modeling
926,Student926,tensorflow version control
927,Student927,shell scripting langchain
928,Student928,websocket prometheus
929,Student929,powershell ec2
930,Student930,ethical hacking descriptive analytics
931,Student931,data visualization design patterns
932,Student932,model evaluation new relic
933,Student933,eclipse sql
934,Student934,monday data visualization
935,Student935,flask lambda
936,Student936,typescript design patterns
937,Student937,dhcp big data
938,Student938,data warehousing ec2
939,Student939,design patterns bootstrap
940,Student940,scada jira
941,Student941,scikit-learn linux
942,Student942,kanban azure
943,Student943,generative ai in-app payments
944,Student944,dimensionality reduction grafana
945,Student945,bdd azure
946,Student946,s3 metasploit
947,Student947,unsupervised learning metasploit
948,Student948,jest signal processing
949,Student949,ssl datadog
950,Student950,solidworks java
951,Student951,network architecture slack
952,Student952,scikit-learn nextjs
953,Student953,cad modeling pytorch
954,Student954,ai ethics bitbucket
955,Student955,nestjs go
956,Student956,android studio responsive design
957,Student957,perl bash scripting
958,Student958,react native gitkraken
959,Student959,sql power bi
960,Student960,gitkraken macos
961,Student961,r in-app payments
962,Student962,routing mocha
963,Student963,penetration testing macos
964,Student964,gcp bash
965,Student965,svelte network architecture
966,Student966,swift helm
967,Student967,cloud architecture new relic
968,Student968,java ubuntu
969,Student969,kotlin grafana
970,Student970,wireshark lambda
971,Student971,siem jest
972,Student972,graphql cloud architecture
973,Student973,neural networks jenkins
974,Student974,probability business intelligence
975,Student975,linux code review
976,Student976,bash scripting java
977,Student977,svelte iot
978,Student978,load balancing soc
979,Student979,apache spark websocket
980,Student980,wireshark mlops
981,Student981,xcode research
982,Student982,metasploit presentation
983,Student983,route53 bootstrap
984,Student984,debugging frontend
985,Student985,raspberry pi monitoring
986,Student986,lua tdd
987,Student987,design patterns grafana
988,Student988,proxmox system design
989,Student989,ec2 gitops
990,Student990,time series analysis graphql
991,Student991,vhdl communication systems
992,Student992,data wrangling industrial automation
993,Student993,regression prometheus
994,Student994,virtualization php
995,Student995,github unit testing
996,Student996,prometheus java (android)
997,Student997,kotlin push notifications
998,Student998,cad modeling code review
999,Student999,autoscaling app store
1000,Student1000,chatbot github actions
1001,Student1001,scala nmap
1002,Student1002,switching clustering
1003,Student1003,routing ansible
1004,Student1004,express information security
1005,Student1005,gitlab ci ethical hacking
1006,Student1006,helm recommendation systems
1007,Student1007,full stack gitlab
1008,Student1008,ai ethics data warehousing
1009,Student1009,ssl unsupervised learning
1010,Student1010,siem reinforcement learning
1011,Student1011,docker kotlin
1012,Student1012,python load balancing
1013,Student1013,big data jira
1014,Student1014,php pytorch
1015,Student1015,cross-browser testing css
1016,Student1016,prometheus vpc
1017,Student1017,bash scripting data lakes
1018,Student1018,network architecture time series analysis
1019,Student1019,haskell web security
1020,Student1020,critical thinking terraform
1021,Student1021,kotlin websocket
1022,Student1022,proxmox application security
